,datum,srazka,zavineni,alkohol,nasledek,prilba,pohlavi
216,2014/09/24 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
217,2015/07/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,chlapec (do 15 let)
218,2015/08/02 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
219,2016/02/02 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ano,muž
220,2016/05/05 00:00:00+00,jiný druh nehody,jiné zaviněn,Nezjišťován,lehké zranění,ano,muž
221,2016/07/19 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
222,2016/09/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
223,2016/09/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
224,2017/04/09 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
225,2017/05/20 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
226,2017/06/26 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
227,2017/07/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
228,2017/08/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
229,2017/10/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
230,2017/11/04 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
231,2017/12/11 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
232,2018/04/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
233,2018/04/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,žena
234,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
235,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
236,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
237,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
238,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
239,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
240,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
241,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
242,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
243,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
244,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
245,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
246,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,žena
247,2018/05/19 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
248,2018/06/02 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ano,žena
249,2018/06/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
250,2018/06/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",bez zraněn,ne,chlapec (do 15 let)
251,2018/06/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",bez zraněn,ne,muž
252,2018/06/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
253,2018/07/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
254,2018/07/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,žena
255,2018/10/06 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
256,2019/04/16 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",lehké zranění,ano,muž
257,2019/05/15 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
258,2019/05/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
259,2019/06/05 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
260,2019/06/08 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
261,2019/08/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,dívka (do 15 let)
262,2019/08/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
263,2019/08/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,dívka (do 15 let)
264,2019/09/27 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
265,2019/10/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
266,2020/04/13 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,muž
267,2020/05/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
268,2020/07/20 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,muž
269,2020/08/22 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ano,muž
270,2020/09/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
271,2020/10/28 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
272,2010/04/30 00:00:00+00,srážka s domácím zvířetem,"lesní zvěří, domácím zvířectvem",Nezjišťován,bez zraněn,ne,muž
273,2010/06/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
274,2010/08/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
275,2010/09/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,dívka (do 15 let)
276,2011/04/20 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
277,2011/05/05 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
278,2011/05/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
279,2011/06/16 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
280,2011/06/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
281,2011/07/11 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,žena
282,2011/09/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
283,2011/09/05 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
284,2011/09/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
285,2012/03/18 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
286,2012/04/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
287,2012/04/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ne,chlapec (do 15 let)
288,2012/05/18 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
289,2012/05/18 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
290,2012/07/01 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ne,muž
291,2012/07/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,bez zraněn,ne,muž
292,2012/09/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
293,2012/09/18 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
294,2012/10/16 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",lehké zranění,ne,muž
295,2012/11/08 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",lehké zranění,ne,muž
296,2012/11/10 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
297,2013/05/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,muž
298,2013/06/18 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",lehké zranění,ano,žena
299,2013/06/23 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
300,2013/07/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
301,2013/07/29 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",jiným účastníkem silničního provozu,Ne,lehké zranění,ne,muž
302,2013/07/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
303,2013/08/09 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
304,2013/08/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
305,2013/09/05 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
306,2013/09/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
307,2013/11/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
308,2013/12/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
309,2014/03/03 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
310,2014/01/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ne,žena
311,2014/04/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
312,2014/04/18 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰",lehké zranění,ano,muž
313,2014/06/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ano,žena
314,2014/06/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,dívka (do 15 let)
315,2014/08/05 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
316,2014/10/09 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
317,2014/10/19 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,chlapec (do 15 let)
318,2015/02/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
319,2015/07/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
320,2015/07/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
321,2015/08/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
322,2016/02/03 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
323,2016/02/09 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ne,muž
324,2016/04/04 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
325,2016/05/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
326,2016/07/19 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
327,2016/09/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,bez zraněn,ano,muž
328,2016/09/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
329,2016/09/29 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,chlapec (do 15 let)
330,2017/03/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
331,2017/05/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
332,2017/09/07 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
333,2017/12/10 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
334,2018/04/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
335,2018/04/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,žena
336,2018/04/19 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
337,2018/04/20 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
338,2018/06/05 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
339,2018/06/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
340,2018/09/07 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",lehké zranění,ne,žena
341,2018/11/02 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ano,muž
342,2019/02/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
343,2019/04/19 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
344,2019/05/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
345,2019/05/30 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
346,2019/06/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
347,2019/07/01 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
348,2019/07/11 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
349,2019/08/18 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
350,2019/08/31 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ne,muž
351,2019/09/04 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
352,2019/09/04 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,bez zraněn,ano,muž
353,2019/10/02 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
354,2019/10/27 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ano,muž
355,2020/05/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
356,2020/07/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
357,2020/08/10 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
358,2020/09/01 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
359,2010/04/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
360,2010/05/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
361,2010/08/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,žena
362,2010/08/25 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
363,2011/03/04 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
364,2011/03/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
365,2011/03/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
366,2011/04/18 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
367,2011/05/30 00:00:00+00,jiný druh nehody,chodcem,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ano,muž
368,2011/06/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",bez zraněn,ano,žena
369,2011/06/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",lehké zranění,ano,muž
370,2011/06/14 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
371,2011/07/16 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,dívka (do 15 let)
372,2011/08/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
373,2011/08/31 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
374,2011/09/05 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
375,2011/09/28 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
376,2011/09/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
377,2012/03/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
378,2012/04/17 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
379,2012/04/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
380,2012/05/01 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,chlapec (do 15 let)
381,2012/05/06 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰",lehké zranění,ano,muž
382,2012/06/16 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
383,2012/06/17 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ano,muž
384,2012/08/04 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",lehké zranění,ano,žena
385,2012/08/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",bez zraněn,ne,muž
386,2012/08/28 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",lehké zranění,ano,muž
387,2012/10/01 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
388,2012/11/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
389,2012/11/27 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
390,2013/02/20 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Nezjišťován,bez zraněn,ano,muž
391,2013/04/29 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
392,2013/05/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
393,2013/06/12 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
394,2013/07/21 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,muž
395,2013/07/30 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem motorového vozidla,Ne,lehké zranění,ne,muž
396,2013/08/08 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
397,2013/08/20 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ano,muž
398,2013/10/07 00:00:00+00,"srážka s vozidlem zaparkovaným, odstaveným",řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
399,2013/11/10 00:00:00+00,jiný druh nehody,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
400,2013/12/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
401,2013/12/20 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
402,2014/06/06 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
403,2014/06/08 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
404,2014/06/12 00:00:00+00,jiný druh nehody,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
405,2014/06/28 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,chlapec (do 15 let)
406,2014/07/21 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,těžké zranění,ano,muž
407,2014/07/24 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,těžké zranění,ano,muž
408,2014/07/26 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,chlapec (do 15 let)
409,2014/09/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
410,2014/10/07 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,muž
411,2014/10/25 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,žena
412,2015/05/06 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,žena
413,2015/05/13 00:00:00+00,havárie,řidičem nemotorového vozidla,Nezjišťován,lehké zranění,ne,muž
414,2015/05/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,muž
415,2015/05/15 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ne,žena
416,2015/06/03 00:00:00+00,srážka s chodcem,chodcem,Ne,lehké zranění,ano,žena
417,2015/06/05 00:00:00+00,srážka s chodcem,chodcem,Ne,bez zraněn,ne,muž
418,2015/06/16 00:00:00+00,havárie,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
419,2015/06/22 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ano,muž
420,2015/06/23 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Nezjišťován,lehké zranění,ano,muž
421,2015/08/02 00:00:00+00,havárie,řidičem nemotorového vozidla,"Ano, obsah alkoholu v krvi 1,5‰ a více",lehké zranění,ne,muž
422,2015/08/24 00:00:00+00,srážka s chodcem,řidičem nemotorového vozidla,Ne,bez zraněn,ano,žena
423,2015/09/03 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem nemotorového vozidla,Ne,lehké zranění,ano,muž
424,2015/11/16 00:00:00+00,srážka s jedoucím nekolejovým vozidlem,řidičem motorového vozidla,Ne,lehké zranění,ne,žena
